ID,Date,Type,Category,Description,Amount,Created At
41,2026-09-03,Expense,Food,Automated Test Meal,320.5,2026-09-04 06:54:06
39,2026-09-03,Expense,Food,Fresh Groceries,1250.0,2026-09-04 06:54:06
38,2026-09-02,Expense,Bills,Broadband Internet Fiber,999.0,2026-09-04 06:54:06
37,2026-09-01,Income,Salary,Monthly Salary September,55000.0,2026-09-04 06:54:06
36,2026-08-28,Expense,Food,Cafe & Bakery Visits,850.0,2026-09-04 06:54:06
35,2026-08-25,Expense,Healthcare,Pharmacy Medicines,750.0,2026-09-04 06:54:06
34,2026-08-20,Income,Freelance,Consulting & Code Review,8000.0,2026-09-04 06:54:06
33,2026-08-15,Expense,Travel,Independence Day Road Trip,4800.0,2026-09-04 06:54:06
32,2026-08-11,Expense,Transportation,Petrol Refill,2200.0,2026-09-04 06:54:06
31,2026-08-07,Expense,Food,Weekly Groceries & Snacks,3900.0,2026-09-04 06:54:06
30,2026-08-05,Expense,Bills,Electricity & Water Utilities,1600.0,2026-09-04 06:54:06
29,2026-08-03,Income,Gift,Birthday Gift from Family,5000.0,2026-09-04 06:54:06
28,2026-08-01,Income,Salary,Monthly Salary August,52000.0,2026-09-04 06:54:06
27,2026-07-29,Expense,Shopping,Noise Cancelling Headphones,4999.0,2026-09-04 06:54:06
26,2026-07-24,Expense,Education,Cloud Architecture Books,1400.0,2026-09-04 06:54:06
25,2026-07-20,Expense,Entertainment,Concert Tickets,2500.0,2026-09-04 06:54:06
24,2026-07-16,Expense,Healthcare,Routine Health Checkup & Labs,1800.0,2026-09-04 06:54:06
23,2026-07-12,Expense,Transportation,Cab & Auto Rides,650.0,2026-09-04 06:54:06
22,2026-07-08,Expense,Food,Organic Mart Grocery,4500.0,2026-09-04 06:54:06
21,2026-07-05,Income,Freelance,Backend API Development,15000.0,2026-09-04 06:54:06
20,2026-07-03,Expense,Bills,Electricity Bill July,1850.0,2026-09-04 06:54:06
19,2026-07-01,Income,Salary,Monthly Salary July,52000.0,2026-09-04 06:54:06
18,2026-06-27,Expense,Bills,Mobile Phone Postpaid Bill,699.0,2026-09-04 06:54:06
17,2026-06-22,Expense,Food,Restaurant Family Dinner,2100.0,2026-09-04 06:54:06
16,2026-06-18,Expense,Travel,Weekend Getaway Resort,6500.0,2026-09-04 06:54:06
15,2026-06-14,Expense,Shopping,Smartphone Accessories,1500.0,2026-09-04 06:54:06
14,2026-06-10,Income,Investment,Stock Market Dividends,2500.0,2026-09-04 06:54:06
13,2026-06-07,Expense,Transportation,Petrol for Car,2000.0,2026-09-04 06:54:06
12,2026-06-04,Expense,Food,Groceries and Vegetables,3800.0,2026-09-04 06:54:06
11,2026-06-02,Expense,Bills,High Speed WiFi Internet,999.0,2026-09-04 06:54:06
10,2026-06-01,Income,Salary,Monthly Salary June,50000.0,2026-09-04 06:54:06
9,2026-05-28,Expense,Education,Python & Data Science Course,2500.0,2026-09-04 06:54:06
8,2026-05-22,Expense,Healthcare,Dental Checkup & Cleaning,1200.0,2026-09-04 06:54:06
7,2026-05-18,Expense,Entertainment,Movie & Dinner with Friends,1600.0,2026-09-04 06:54:06
6,2026-05-15,Income,Freelance,UI/UX Design Project,12000.0,2026-09-04 06:54:06
5,2026-05-12,Expense,Shopping,Summer Clothing Shopping,3200.0,2026-09-04 06:54:06
4,2026-05-08,Expense,Transportation,Monthly Metro Pass,800.0,2026-09-04 06:54:06
3,2026-05-05,Expense,Food,Monthly Grocery Supermarket,4200.0,2026-09-04 06:54:06
2,2026-05-03,Expense,Bills,Electricity Bill May,1450.0,2026-09-04 06:54:06
1,2026-05-01,Income,Salary,Monthly Salary May,50000.0,2026-09-04 06:54:06
